person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G
32,55000,14.0,16000,10.59,1,0.29,0,7,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
23,8088,0.0,1000,10.0,0,0.12,0,4,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
30,90000,8.0,20000,14.82,0,0.22,1,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
23,18000,1.0,3250,13.22,1,0.18,0,2,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
24,75000,3.0,16000,6.62,0,0.21,0,2,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
32,66725,4.0,15000,10.99,1,0.19,0,5,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
24,45000,8.0,20000,10.99,1,0.44,0,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
34,72000,10.0,4000,7.14,0,0.06,0,9,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
24,140000,8.0,25000,10.36,0,0.18,0,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
29,40000,3.0,6600,8.0,0,0.17,0,10,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
38,30000,0.0,5600,9.99,1,0.19,0,15,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
31,82000,15.0,9000,5.42,0,0.11,0,9,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
26,48000,7.0,9000,8.94,0,0.19,0,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
31,80000,4.0,3500,12.99,0,0.04,1,7,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
23,10560,0.0,2800,9.99,1,0.27,0,4,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
23,43949,7.0,3000,11.49,0,0.07,0,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
23,75000,7.0,10200,6.03,0,0.14,0,2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
22,12000,0.0,6700,7.66,1,0.56,0,4,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
28,82000,3.0,25000,16.29,0,0.3,0,5,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
37,155000,11.0,20000,6.54,0,0.13,0,15,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
26,100000,0.0,13500,7.14,0,0.14,0,3,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
21,22000,4.0,2500,7.14,0,0.11,0,4,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
23,60000,7.0,2000,15.23,0,0.03,1,2,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
30,180000,13.0,28000,10.65,0,0.16,0,6,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
23,45992,7.0,10000,5.42,0,0.22,0,3,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
23,95327,4.0,4325,7.74,0,0.05,0,2,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
27,45500,11.0,14000,13.92,0,0.31,1,6,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
27,30000,1.0,10000,10.99,1,0.33,1,6,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
40,34560,3.0,10000,10.99,0,0.29,0,12,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
22,37008,2.0,3600,12.42,0,0.1,0,4,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
23,64000,0.0,12000,13.16,0,0.19,1,4,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
23,42500,3.0,12000,13.35,0,0.28,0,3,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
46,65000,1.0,6000,12.69,0,0.09,0,13,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
23,50000,0.0,5600,11.03,0,0.11,1,4,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
25,35360,9.0,10000,8.94,0,0.28,0,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
23,112976,2.0,20000,6.91,0,0.18,0,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
24,72000,8.0,5000,6.03,0,0.07,0,4,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
24,75000,8.0,1200,11.49,0,0.02,0,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
38,17280,0.0,1000,16.29,0,0.06,0,11,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
22,50000,1.0,11000,10.99,0,0.22,0,2,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
26,67500,0.0,3000,8.88,0,0.04,0,2,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
25,49000,8.0,18200,11.99,1,0.37,0,4,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
22,50000,0.0,10000,12.69,0,0.2,0,4,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
61,78000,1.0,8525,14.54,1,0.11,1,27,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
43,60000,27.0,10000,9.88,0,0.17,0,16,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
22,71760,6.0,15500,7.88,0,0.22,0,2,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
22,30000,1.0,4000,10.99,0,0.13,0,3,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
25,51492,2.0,13800,10.38,0,0.27,0,4,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
22,95000,2.0,5000,10.59,0,0.05,0,2,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
24,70000,3.0,11000,10.99,0,0.16,0,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
27,36000,11.0,4500,7.49,0,0.13,0,5,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
26,96000,4.0,20000,16.7,0,0.21,0,4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
23,62000,3.0,4000,8.9,0,0.06,0,2,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
43,50000,0.0,4500,10.74,0,0.09,0,16,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
36,38568,7.0,2400,18.39,0,0.06,1,13,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
31,86500,0.0,25000,13.57,0,0.29,0,9,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
25,25000,3.0,10000,14.11,1,0.4,1,2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
60,1900000,5.0,1500,10.99,0,0.0,0,21,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
29,34000,0.0,10000,12.53,1,0.29,0,6,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
27,32000,2.0,14000,11.89,0,0.44,0,7,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
35,56000,1.0,15000,11.26,0,0.27,0,10,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
27,24000,0.0,8500,5.42,0,0.35,0,6,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
24,76000,8.0,12000,6.03,0,0.16,0,2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
23,43000,1.0,9000,9.63,0,0.21,0,2,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
23,65000,2.0,8000,14.72,0,0.12,1,2,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
32,45000,6.0,15000,7.51,0,0.33,0,5,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
24,94837,8.0,9600,11.99,0,0.1,0,2,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
23,20400,3.0,3125,12.61,0,0.15,0,3,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
25,42288,2.0,5000,10.99,0,0.12,0,2,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
24,35000,1.0,7000,16.29,0,0.2,0,4,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
23,39120,4.0,7000,11.71,0,0.18,0,3,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
28,150000,5.0,15000,7.88,0,0.1,0,6,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
29,98736,13.0,9000,11.89,0,0.09,0,6,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
36,44000,2.0,6000,10.99,1,0.14,0,12,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
34,75000,0.0,20000,13.06,0,0.27,0,8,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
27,85000,1.0,7525,10.99,0,0.09,0,8,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
29,74004,13.0,13000,11.26,0,0.18,0,6,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
24,28596,5.0,1500,11.46,0,0.05,0,4,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
27,60000,3.0,2400,7.49,0,0.04,0,6,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
31,87500,4.0,6000,11.99,0,0.07,0,5,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
26,67983,7.0,15000,16.49,1,0.19,1,3,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
25,120000,6.0,10000,10.99,0,0.08,0,2,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
22,28000,6.0,10000,10.99,0,0.36,0,3,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
22,30000,3.0,6000,10.37,0,0.2,0,2,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
33,85000,11.0,5000,7.9,0,0.06,0,8,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
27,100000,2.0,10000,12.09,0,0.1,1,9,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
22,85000,4.0,12000,6.91,0,0.14,0,3,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
29,34000,2.0,14400,16.0,0,0.42,1,7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
30,55840,6.0,6000,10.25,0,0.11,0,5,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
27,47000,11.0,2650,7.49,0,0.06,0,9,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
23,28800,5.0,2800,10.38,0,0.1,0,2,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
23,84000,3.0,15850,8.49,0,0.19,0,4,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
21,38400,5.0,2000,10.99,0,0.05,0,2,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
30,50000,2.0,6400,11.71,0,0.13,0,6,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
47,204000,6.0,10000,13.06,0,0.05,1,13,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
25,34800,6.0,5125,6.99,1,0.15,0,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
25,29000,3.0,5000,15.7,1,0.17,1,3,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
25,42240,10.0,8000,6.62,0,0.19,0,4,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
25,59000,0.0,10000,14.17,0,0.17,0,3,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
36,150000,8.0,7200,6.92,0,0.05,0,13,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
32,52000,3.0,4200,13.23,0,0.08,1,10,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
23,24000,7.0,5550,12.53,0,0.23,1,4,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
35,38000,2.0,15000,10.99,0,0.39,0,5,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
69,24000,3.0,6000,6.62,0,0.25,0,20,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
26,36000,0.0,5400,8.9,0,0.15,0,2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
21,24300,3.0,4500,11.83,0,0.19,0,4,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
33,75000,13.0,4000,14.11,0,0.05,0,7,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
27,75000,0.0,23200,10.99,0,0.31,0,9,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
31,41000,6.0,3200,13.16,1,0.08,0,6,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
29,38400,0.0,14000,14.27,0,0.36,1,8,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
23,90000,7.0,35000,8.9,0,0.39,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
22,12000,6.0,4750,7.14,1,0.4,0,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
24,56000,8.0,20000,16.7,1,0.36,1,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
26,31200,8.0,5000,8.63,0,0.16,0,2,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
29,54000,1.0,25000,20.16,1,0.46,1,8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
33,45000,17.0,10800,7.51,1,0.24,0,8,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
29,30000,2.0,6600,15.33,1,0.22,1,8,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
24,40000,3.0,7000,7.88,0,0.17,0,4,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
48,66000,6.0,6000,11.89,0,0.09,0,11,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
22,72000,4.0,6200,5.99,0,0.09,0,2,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
31,118000,8.0,6000,12.69,0,0.05,0,9,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
33,38400,0.0,10000,9.91,0,0.26,0,8,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
22,63000,2.0,12000,7.66,0,0.19,0,3,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
22,66996,3.0,20000,12.18,0,0.3,0,2,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
45,51000,2.0,7000,7.88,0,0.14,0,12,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
23,54000,7.0,1500,9.62,0,0.03,0,4,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
27,98500,5.0,7200,14.35,0,0.07,1,6,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
27,80000,4.0,15000,6.54,0,0.19,0,8,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
26,50000,10.0,10000,7.51,0,0.2,0,3,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
24,90100,6.0,13000,12.69,1,0.12,0,4,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
21,65004,5.0,6000,7.68,0,0.09,0,3,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
24,55000,8.0,1800,7.49,0,0.03,0,3,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
23,21000,6.0,7500,6.91,1,0.36,0,4,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
26,15600,5.0,5000,5.99,1,0.32,0,3,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
24,38000,8.0,5000,13.99,0,0.13,0,4,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
21,52000,5.0,1500,11.99,0,0.03,0,3,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
24,32000,6.0,4800,10.59,0,0.15,0,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
22,48000,4.0,2400,11.46,0,0.05,0,3,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
26,47000,8.0,12500,8.49,0,0.27,0,2,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
30,70000,15.0,10000,10.75,0,0.14,0,6,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
25,65000,3.0,4000,6.62,0,0.06,0,2,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
32,54000,2.0,7125,9.99,1,0.13,0,6,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
37,88000,4.0,25000,19.66,1,0.28,1,15,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
25,39396,0.0,6000,15.31,1,0.15,1,3,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
25,76000,4.0,14000,7.66,0,0.18,0,3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
27,146000,3.0,10175,12.99,1,0.07,0,6,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
39,38500,0.0,3000,10.99,0,0.08,0,16,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
29,49000,3.0,6000,13.99,1,0.12,0,6,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
28,53040,6.0,1700,8.49,0,0.03,0,8,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
30,138000,13.0,10000,10.99,1,0.07,0,10,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
22,45000,0.0,6000,13.23,0,0.13,0,4,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
29,80000,13.0,15000,13.72,0,0.19,1,5,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
23,78000,7.0,4600,7.66,0,0.06,0,2,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
26,120000,0.0,6000,10.99,0,0.05,0,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
29,100000,7.0,4000,10.99,0,0.04,0,7,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
35,63600,3.0,12000,11.49,0,0.19,0,8,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
26,38004,3.0,10000,13.35,0,0.26,0,2,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
43,49578,11.0,16000,13.49,0,0.32,1,13,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
23,32000,0.0,8500,13.16,0,0.27,1,4,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
27,130000,12.0,5000,8.63,0,0.04,0,5,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
26,41500,9.0,11400,7.66,0,0.27,0,3,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
22,27000,5.0,2925,10.71,0,0.11,0,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
22,27000,3.0,2800,7.51,1,0.1,0,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
28,82300,3.0,3600,9.63,0,0.04,0,6,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
22,36000,4.0,4200,9.91,1,0.12,0,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
31,65000,4.0,20000,11.71,0,0.31,0,9,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
22,36000,3.0,9000,10.99,0,0.25,1,2,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
26,44000,4.0,11500,9.63,1,0.26,0,3,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
28,49000,2.0,3600,13.98,1,0.07,1,9,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
37,26500,11.0,2000,13.16,0,0.08,0,12,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
25,126000,9.0,15000,7.9,0,0.12,0,3,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
43,80000,5.0,6400,11.71,0,0.08,0,11,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
41,32000,0.0,5000,13.98,0,0.16,0,15,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
25,31200,7.0,3500,6.92,0,0.11,0,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
42,160000,0.0,22000,6.99,0,0.14,0,16,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
27,165000,6.0,35000,12.99,0,0.21,0,9,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
24,60500,1.0,8150,17.27,1,0.13,1,3,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
28,186480,12.0,10000,14.22,0,0.05,1,9,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
27,63000,9.0,4500,8.88,0,0.07,0,7,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
27,39480,2.0,7200,13.79,0,0.18,0,8,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
22,55000,2.0,8400,7.88,0,0.15,0,2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
34,128000,2.0,3000,10.99,1,0.02,0,10,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
26,55080,10.0,2500,7.66,1,0.04,0,3,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
29,280000,6.0,15000,12.99,0,0.05,1,6,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
23,115275,7.0,7500,11.28,0,0.07,1,4,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
27,175000,7.0,15000,7.49,0,0.09,0,8,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
22,48400,6.0,12000,14.65,1,0.25,1,3,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
22,42000,3.0,7000,10.99,0,0.17,0,3,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
24,27456,1.0,9250,12.87,1,0.34,0,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
24,70000,8.0,7000,9.99,0,0.1,0,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
32,78000,0.0,13000,12.87,0,0.17,1,10,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
25,80004,5.0,10000,9.62,0,0.12,0,4,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
23,122000,7.0,16000,13.49,0,0.13,0,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
25,175000,9.0,7550,11.49,0,0.04,0,4,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
32,68000,1.0,6100,10.25,0,0.09,0,7,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
28,25200,5.0,11500,14.46,1,0.46,1,6,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
