person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
31,190000,MORTGAGE,15.0,MEDICAL,C,24000,,0,0.13,N,10
32,55000,MORTGAGE,14.0,HOMEIMPROVEMENT,B,16000,10.59,1,0.29,N,7
23,8088,RENT,,MEDICAL,B,1000,10.0,0,0.12,N,4
30,90000,MORTGAGE,8.0,EDUCATION,E,20000,14.82,0,0.22,Y,8
23,18000,RENT,1.0,VENTURE,C,3250,13.22,1,0.18,N,2
24,75000,MORTGAGE,3.0,VENTURE,A,16000,6.62,0,0.21,N,2
32,66725,RENT,4.0,MEDICAL,B,15000,,1,0.19,N,5
24,45000,RENT,8.0,MEDICAL,E,20000,,1,0.44,N,2
34,72000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,4000,7.14,0,0.06,N,9
24,140000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,25000,10.36,0,0.18,N,2
29,40000,MORTGAGE,3.0,MEDICAL,A,6600,8.0,0,0.17,N,10
38,30000,RENT,0.0,EDUCATION,B,5600,9.99,1,0.19,N,15
31,82000,MORTGAGE,15.0,HOMEIMPROVEMENT,A,9000,5.42,0,0.11,N,9
26,48000,RENT,7.0,MEDICAL,A,9000,8.94,0,0.19,N,3
31,80000,RENT,4.0,PERSONAL,C,3500,12.99,0,0.04,Y,7
23,10560,RENT,0.0,DEBTCONSOLIDATION,B,2800,9.99,1,0.27,N,4
23,43949,RENT,7.0,MEDICAL,B,3000,11.49,0,0.07,N,2
23,75000,MORTGAGE,7.0,PERSONAL,A,10200,6.03,0,0.14,N,2
22,12000,RENT,0.0,EDUCATION,A,6700,7.66,1,0.56,N,4
28,82000,MORTGAGE,3.0,HOMEIMPROVEMENT,D,25000,16.29,0,0.3,N,5
37,155000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,20000,6.54,0,0.13,N,15
26,100000,RENT,0.0,PERSONAL,A,13500,7.14,0,0.14,N,3
21,22000,RENT,4.0,DEBTCONSOLIDATION,A,2500,7.14,0,0.11,N,4
23,60000,MORTGAGE,7.0,PERSONAL,C,2000,15.23,0,0.03,Y,2
30,180000,MORTGAGE,13.0,PERSONAL,B,28000,10.65,0,0.16,N,6
23,45992,MORTGAGE,7.0,VENTURE,A,10000,5.42,0,0.22,N,3
23,95327,OWN,4.0,VENTURE,A,4325,7.74,0,0.05,N,2
27,45500,OWN,11.0,VENTURE,C,14000,13.92,0,0.31,Y,6
27,30000,RENT,1.0,HOMEIMPROVEMENT,D,10000,,1,0.33,Y,6
40,34560,MORTGAGE,3.0,MEDICAL,B,10000,,0,0.29,N,12
22,37008,RENT,2.0,EDUCATION,B,3600,12.42,0,0.1,N,4
23,64000,RENT,0.0,MEDICAL,C,12000,13.16,0,0.19,Y,4
23,42500,RENT,3.0,EDUCATION,C,12000,13.35,0,0.28,N,3
46,65000,RENT,1.0,EDUCATION,B,6000,12.69,0,0.09,N,13
23,50000,RENT,0.0,MEDICAL,C,5600,11.03,0,0.11,Y,4
25,35360,MORTGAGE,9.0,MEDICAL,A,10000,8.94,0,0.28,N,2
23,112976,MORTGAGE,2.0,MEDICAL,A,20000,6.91,0,0.18,N,2
24,72000,MORTGAGE,8.0,PERSONAL,A,5000,6.03,0,0.07,N,4
24,75000,MORTGAGE,8.0,PERSONAL,B,1200,11.49,0,0.02,N,2
38,17280,OWN,0.0,HOMEIMPROVEMENT,D,1000,16.29,0,0.06,N,11
22,50000,RENT,1.0,MEDICAL,A,11000,,0,0.22,N,2
26,67500,RENT,0.0,EDUCATION,B,3000,8.88,0,0.04,N,2
25,49000,MORTGAGE,8.0,MEDICAL,B,18200,11.99,1,0.37,N,4
22,50000,MORTGAGE,,VENTURE,B,10000,12.69,0,0.2,N,4
61,78000,MORTGAGE,1.0,PERSONAL,D,8525,14.54,1,0.11,Y,27
43,60000,MORTGAGE,27.0,HOMEIMPROVEMENT,B,10000,9.88,0,0.17,N,16
22,71760,RENT,6.0,EDUCATION,A,15500,7.88,0,0.22,N,2
22,30000,RENT,1.0,EDUCATION,C,4000,,0,0.13,N,3
25,51492,MORTGAGE,2.0,EDUCATION,B,13800,10.38,0,0.27,N,4
22,95000,MORTGAGE,2.0,MEDICAL,B,5000,10.59,0,0.05,N,2
24,70000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,11000,,0,0.16,N,3
27,36000,RENT,11.0,VENTURE,A,4500,7.49,0,0.13,N,5
26,96000,MORTGAGE,4.0,HOMEIMPROVEMENT,E,20000,16.7,0,0.21,N,4
23,62000,MORTGAGE,3.0,VENTURE,A,4000,8.9,0,0.06,N,2
43,50000,RENT,0.0,PERSONAL,B,4500,10.74,0,0.09,N,16
36,38568,RENT,7.0,EDUCATION,E,2400,18.39,0,0.06,Y,13
31,86500,OWN,0.0,VENTURE,C,25000,13.57,0,0.29,N,9
25,25000,RENT,3.0,PERSONAL,D,10000,14.11,1,0.4,Y,2
60,1900000,MORTGAGE,5.0,PERSONAL,A,1500,,0,0.0,N,21
29,34000,RENT,0.0,DEBTCONSOLIDATION,B,10000,12.53,1,0.29,N,6
27,32000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,14000,11.89,0,0.44,N,7
35,56000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,15000,11.26,0,0.27,N,10
27,24000,OWN,0.0,VENTURE,A,8500,5.42,0,0.35,N,6
24,76000,MORTGAGE,8.0,PERSONAL,A,12000,6.03,0,0.16,N,2
23,43000,MORTGAGE,1.0,EDUCATION,A,9000,9.63,0,0.21,N,2
23,65000,RENT,2.0,DEBTCONSOLIDATION,C,8000,14.72,0,0.12,Y,2
32,45000,MORTGAGE,6.0,PERSONAL,A,15000,7.51,0,0.33,N,5
24,94837,RENT,8.0,HOMEIMPROVEMENT,B,9600,11.99,0,0.1,N,2
23,20400,RENT,3.0,PERSONAL,C,3125,12.61,0,0.15,N,3
25,42288,RENT,2.0,EDUCATION,B,5000,10.99,0,0.12,N,2
24,35000,OWN,1.0,MEDICAL,D,7000,16.29,0,0.2,N,4
23,39120,OWN,4.0,MEDICAL,B,7000,11.71,0,0.18,N,3
28,150000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,15000,7.88,0,0.1,N,6
29,98736,OWN,13.0,VENTURE,B,9000,11.89,0,0.09,N,6
36,44000,RENT,2.0,HOMEIMPROVEMENT,E,6000,,1,0.14,N,12
34,75000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,20000,13.06,0,0.27,N,8
27,85000,RENT,1.0,DEBTCONSOLIDATION,A,7525,,0,0.09,N,8
29,74004,MORTGAGE,13.0,PERSONAL,B,13000,11.26,0,0.18,N,6
24,28596,RENT,5.0,EDUCATION,B,1500,11.46,0,0.05,N,4
27,60000,RENT,3.0,VENTURE,A,2400,7.49,0,0.04,N,6
31,87500,RENT,4.0,DEBTCONSOLIDATION,B,6000,11.99,0,0.07,N,5
26,67983,MORTGAGE,7.0,MEDICAL,D,15000,16.49,1,0.19,Y,3
25,120000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,10000,,0,0.08,N,2
22,28000,MORTGAGE,6.0,PERSONAL,B,10000,10.99,0,0.36,N,3
22,30000,RENT,3.0,PERSONAL,B,6000,10.37,0,0.2,N,2
33,85000,RENT,11.0,EDUCATION,A,5000,7.9,0,0.06,N,8
27,100000,MORTGAGE,2.0,MEDICAL,C,10000,12.09,0,0.1,Y,9
22,85000,MORTGAGE,4.0,MEDICAL,A,12000,6.91,0,0.14,N,3
29,34000,OWN,2.0,VENTURE,E,14400,16.0,0,0.42,Y,7
30,55840,RENT,6.0,MEDICAL,B,6000,10.25,0,0.11,N,5
27,47000,MORTGAGE,11.0,EDUCATION,A,2650,7.49,0,0.06,N,9
23,28800,RENT,5.0,EDUCATION,B,2800,10.38,0,0.1,N,2
23,84000,RENT,3.0,MEDICAL,A,15850,8.49,0,0.19,N,4
21,38400,RENT,5.0,VENTURE,B,2000,,0,0.05,N,2
30,50000,RENT,2.0,VENTURE,B,6400,11.71,0,0.13,N,6
47,204000,MORTGAGE,6.0,EDUCATION,C,10000,13.06,0,0.05,Y,13
25,34800,MORTGAGE,6.0,DEBTCONSOLIDATION,A,5125,6.99,1,0.15,N,2
25,29000,RENT,3.0,DEBTCONSOLIDATION,D,5000,15.7,1,0.17,Y,3
25,42240,OWN,10.0,HOMEIMPROVEMENT,A,8000,6.62,0,0.19,N,4
25,59000,RENT,0.0,VENTURE,C,10000,14.17,0,0.17,N,3
36,150000,OWN,8.0,VENTURE,A,7200,6.92,0,0.05,N,13
32,52000,RENT,3.0,EDUCATION,C,4200,13.23,0,0.08,Y,10
23,24000,RENT,7.0,VENTURE,C,5550,12.53,0,0.23,Y,4
35,38000,MORTGAGE,2.0,MEDICAL,B,15000,10.99,0,0.39,N,5
69,24000,RENT,3.0,MEDICAL,A,6000,6.62,0,0.25,N,20
26,36000,RENT,,VENTURE,A,5400,8.9,0,0.15,N,2
21,24300,OWN,3.0,MEDICAL,B,4500,11.83,0,0.19,N,4
33,75000,MORTGAGE,13.0,VENTURE,D,4000,14.11,0,0.05,N,7
27,75000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,23200,,0,0.31,N,9
31,41000,MORTGAGE,6.0,MEDICAL,C,3200,13.16,1,0.08,N,6
29,38400,MORTGAGE,0.0,MEDICAL,C,14000,14.27,0,0.36,Y,8
23,90000,OWN,7.0,MEDICAL,A,35000,8.9,0,0.39,N,4
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2
24,56000,MORTGAGE,8.0,DEBTCONSOLIDATION,E,20000,16.7,1,0.36,Y,4
26,31200,RENT,8.0,PERSONAL,A,5000,8.63,0,0.16,N,2
29,54000,MORTGAGE,1.0,PERSONAL,G,25000,20.16,1,0.46,Y,8
33,45000,MORTGAGE,17.0,HOMEIMPROVEMENT,A,10800,7.51,1,0.24,N,8
29,30000,RENT,2.0,MEDICAL,D,6600,15.33,1,0.22,Y,8
24,40000,RENT,3.0,VENTURE,A,7000,7.88,0,0.17,N,4
48,66000,RENT,6.0,VENTURE,B,6000,11.89,0,0.09,N,11
22,72000,RENT,4.0,PERSONAL,A,6200,5.99,0,0.09,N,2
31,118000,MORTGAGE,8.0,MEDICAL,B,6000,12.69,0,0.05,N,9
33,38400,MORTGAGE,0.0,EDUCATION,B,10000,9.91,0,0.26,N,8
22,63000,MORTGAGE,2.0,MEDICAL,A,12000,7.66,0,0.19,N,3
22,66996,RENT,3.0,EDUCATION,B,20000,12.18,0,0.3,N,2
45,51000,MORTGAGE,2.0,MEDICAL,A,7000,7.88,0,0.14,N,12
23,54000,RENT,7.0,EDUCATION,B,1500,9.62,0,0.03,N,4
27,98500,RENT,5.0,HOMEIMPROVEMENT,C,7200,14.35,0,0.07,Y,6
27,80000,MORTGAGE,4.0,MEDICAL,A,15000,6.54,0,0.19,N,8
26,50000,MORTGAGE,10.0,PERSONAL,A,10000,7.51,0,0.2,N,3
24,90100,RENT,6.0,MEDICAL,B,13000,12.69,1,0.12,N,4
21,65004,RENT,5.0,PERSONAL,A,6000,7.68,0,0.09,N,3
24,55000,MORTGAGE,8.0,MEDICAL,A,1800,7.49,0,0.03,N,3
23,21000,RENT,6.0,DEBTCONSOLIDATION,A,7500,6.91,1,0.36,N,4
26,15600,RENT,5.0,DEBTCONSOLIDATION,A,5000,5.99,1,0.32,N,3
24,38000,RENT,8.0,MEDICAL,C,5000,13.99,0,0.13,N,4
21,52000,RENT,5.0,EDUCATION,B,1500,11.99,0,0.03,N,3
24,32000,RENT,6.0,MEDICAL,B,4800,10.59,0,0.15,N,2
22,48000,OWN,4.0,PERSONAL,B,2400,11.46,0,0.05,N,3
26,47000,OWN,8.0,VENTURE,A,12500,8.49,0,0.27,N,2
30,70000,MORTGAGE,15.0,DEBTCONSOLIDATION,B,10000,10.75,0,0.14,N,6
25,65000,RENT,3.0,PERSONAL,A,4000,6.62,0,0.06,N,2
32,54000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,7125,9.99,1,0.13,N,6
37,88000,RENT,4.0,EDUCATION,G,25000,19.66,1,0.28,Y,15
25,39396,RENT,0.0,VENTURE,D,6000,15.31,1,0.15,Y,3
25,76000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,14000,7.66,0,0.18,N,3
27,146000,RENT,3.0,VENTURE,C,10175,12.99,1,0.07,N,6
39,38500,RENT,0.0,MEDICAL,B,3000,,0,0.08,N,16
29,49000,RENT,3.0,PERSONAL,C,6000,13.99,1,0.12,N,6
28,53040,RENT,6.0,DEBTCONSOLIDATION,A,1700,8.49,0,0.03,N,8
30,138000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,10000,10.99,1,0.07,N,10
22,45000,RENT,0.0,PERSONAL,C,6000,13.23,0,0.13,N,4
29,80000,RENT,13.0,MEDICAL,C,15000,13.72,0,0.19,Y,5
23,78000,MORTGAGE,7.0,EDUCATION,A,4600,7.66,0,0.06,N,2
26,120000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6000,,0,0.05,N,2
29,100000,RENT,7.0,HOMEIMPROVEMENT,B,4000,,0,0.04,N,7
35,63600,RENT,3.0,EDUCATION,B,12000,11.49,0,0.19,N,8
26,38004,MORTGAGE,3.0,VENTURE,C,10000,13.35,0,0.26,N,2
43,49578,MORTGAGE,11.0,PERSONAL,C,16000,13.49,0,0.32,Y,13
23,32000,RENT,0.0,MEDICAL,C,8500,13.16,0,0.27,Y,4
27,130000,MORTGAGE,12.0,PERSONAL,A,5000,8.63,0,0.04,N,5
26,41500,RENT,9.0,EDUCATION,A,11400,7.66,0,0.27,N,3
22,27000,RENT,5.0,PERSONAL,B,2925,10.71,0,0.11,N,4
22,27000,RENT,3.0,MEDICAL,A,2800,7.51,1,0.1,N,3
28,82300,RENT,3.0,VENTURE,A,3600,9.63,0,0.04,N,6
22,36000,RENT,4.0,MEDICAL,B,4200,9.91,1,0.12,N,2
31,65000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,20000,11.71,0,0.31,N,9
22,36000,RENT,3.0,EDUCATION,C,9000,,0,0.25,Y,2
26,44000,MORTGAGE,4.0,PERSONAL,B,11500,9.63,1,0.26,N,3
28,49000,RENT,2.0,VENTURE,C,3600,13.98,1,0.07,Y,9
37,26500,RENT,11.0,MEDICAL,C,2000,13.16,0,0.08,N,12
25,126000,MORTGAGE,9.0,EDUCATION,A,15000,7.9,0,0.12,N,3
43,80000,RENT,5.0,HOMEIMPROVEMENT,B,6400,11.71,0,0.08,N,11
41,32000,RENT,0.0,MEDICAL,C,5000,13.98,0,0.16,N,15
25,31200,RENT,7.0,MEDICAL,A,3500,6.92,0,0.11,N,3
42,160000,MORTGAGE,0.0,MEDICAL,A,22000,6.99,0,0.14,N,16
27,165000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,35000,12.99,0,0.21,N,9
24,60500,RENT,1.0,DEBTCONSOLIDATION,D,8150,17.27,1,0.13,Y,3
28,186480,MORTGAGE,12.0,MEDICAL,C,10000,14.22,0,0.05,Y,9
27,63000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,4500,8.88,0,0.07,N,7
27,39480,MORTGAGE,2.0,EDUCATION,C,7200,13.79,0,0.18,N,8
22,55000,RENT,2.0,VENTURE,A,8400,7.88,0,0.15,N,2
34,128000,MORTGAGE,2.0,DEBTCONSOLIDATION,D,3000,,1,0.02,N,10
26,55080,MORTGAGE,10.0,MEDICAL,A,2500,7.66,1,0.04,N,3
29,280000,MORTGAGE,6.0,MEDICAL,C,15000,12.99,0,0.05,Y,6
23,115275,RENT,7.0,EDUCATION,C,7500,11.28,0,0.07,Y,4
27,175000,MORTGAGE,7.0,MEDICAL,A,15000,7.49,0,0.09,N,8
22,48400,RENT,6.0,VENTURE,C,12000,14.65,1,0.25,Y,3
22,42000,OWN,3.0,VENTURE,A,7000,,0,0.17,N,3
24,27456,RENT,1.0,MEDICAL,C,9250,12.87,1,0.34,N,3
24,70000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,7000,9.99,0,0.1,N,4
32,78000,RENT,0.0,EDUCATION,C,13000,12.87,0,0.17,Y,10
25,80004,RENT,5.0,EDUCATION,B,10000,9.62,0,0.12,N,4
23,122000,MORTGAGE,7.0,EDUCATION,C,16000,13.49,0,0.13,N,2
25,175000,MORTGAGE,9.0,PERSONAL,B,7550,11.49,0,0.04,N,4
32,68000,MORTGAGE,1.0,MEDICAL,B,6100,10.25,0,0.09,N,7
28,25200,RENT,5.0,PERSONAL,D,11500,14.46,1,0.46,Y,6
27,50000,RENT,3.0,VENTURE,B,6000,11.36,0,0.12,N,9
34,40000,RENT,2.0,VENTURE,B,5000,12.53,0,0.13,N,10
28,60000,MORTGAGE,2.0,EDUCATION,A,6000,5.99,0,0.1,N,8
23,46744,RENT,4.0,EDUCATION,D,8800,14.96,0,0.19,Y,3
23,10000,RENT,1.0,VENTURE,B,2100,12.21,1,0.21,N,3
24,120000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,9500,11.66,0,0.08,Y,2
24,58000,RENT,2.0,VENTURE,C,3200,14.35,0,0.06,N,2
23,114000,OWN,7.0,VENTURE,A,6000,8.49,0,0.05,N,4
30,175000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,6000,7.68,0,0.03,N,7
32,95000,RENT,16.0,HOMEIMPROVEMENT,A,4000,7.49,0,0.04,N,8
29,51504,RENT,0.0,MEDICAL,B,5500,11.89,0,0.11,N,9
23,68500,MORTGAGE,7.0,EDUCATION,C,4200,11.66,0,0.06,Y,4
29,45000,RENT,1.0,HOMEIMPROVEMENT,A,6000,5.79,1,0.13,N,10
22,51000,RENT,6.0,VENTURE,B,5650,9.91,0,0.11,N,4
34,113500,OWN,4.0,HOMEIMPROVEMENT,A,3000,6.39,0,0.03,N,8
23,34800,RENT,6.0,EDUCATION,A,6600,7.49,0,0.19,N,3
33,51996,MORTGAGE,3.0,DEBTCONSOLIDATION,B,14000,8.88,0,0.27,N,9
27,56500,RENT,2.0,HOMEIMPROVEMENT,D,14000,13.87,1,0.25,N,8
40,14400,RENT,0.0,MEDICAL,B,1000,9.25,0,0.07,N,11
37,44000,RENT,0.0,PERSONAL,A,10000,6.91,0,0.23,N,15
29,95000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,2400,13.72,0,0.03,N,9
22,52000,RENT,6.0,EDUCATION,B,12000,11.99,0,0.23,N,3
34,40000,MORTGAGE,11.0,VENTURE,A,6000,7.29,0,0.15,N,7
25,95111,MORTGAGE,9.0,PERSONAL,C,18000,14.72,0,0.19,N,4
25,60000,RENT,9.0,MEDICAL,C,8400,13.99,0,0.14,Y,3
27,48996,RENT,3.0,VENTURE,B,12000,12.53,0,0.24,N,6
22,49000,RENT,0.0,EDUCATION,D,7600,15.62,1,0.16,N,4
28,16560,RENT,,PERSONAL,A,2500,6.99,0,0.15,N,10
42,33564,RENT,5.0,PERSONAL,D,6000,16.29,1,0.18,N,15
31,72000,MORTGAGE,6.0,MEDICAL,A,9800,6.62,0,0.14,N,7
28,300000,MORTGAGE,1.0,PERSONAL,C,9600,15.23,0,0.03,Y,10
23,75000,MORTGAGE,7.0,VENTURE,A,10200,6.03,0,0.14,N,3
38,44000,OWN,2.0,VENTURE,B,7000,9.76,0,0.16,N,12
46,27600,RENT,1.0,MEDICAL,B,5050,,0,0.18,N,11
23,85000,MORTGAGE,1.0,PERSONAL,C,15000,12.84,0,0.18,N,3
26,35000,RENT,9.0,MEDICAL,C,2000,13.99,0,0.06,N,2
24,37200,RENT,2.0,PERSONAL,B,6000,9.99,0,0.16,N,3
22,35000,MORTGAGE,6.0,PERSONAL,C,7500,11.34,0,0.21,Y,2
27,56525,MORTGAGE,4.0,MEDICAL,D,12000,15.95,1,0.18,N,10
23,34000,MORTGAGE,0.0,EDUCATION,C,4000,14.17,1,0.12,N,2
22,26400,MORTGAGE,2.0,VENTURE,B,4400,11.49,0,0.17,N,3
26,57000,MORTGAGE,4.0,EDUCATION,C,12000,13.49,0,0.21,Y,2
28,86000,MORTGAGE,12.0,EDUCATION,B,15000,10.62,0,0.17,N,10
27,102000,MORTGAGE,9.0,PERSONAL,A,6000,7.49,0,0.06,N,9
34,55000,MORTGAGE,3.0,VENTURE,A,12800,5.42,0,0.23,N,9
23,110000,RENT,5.0,DEBTCONSOLIDATION,A,10000,7.88,0,0.09,N,2
21,37423,RENT,5.0,MEDICAL,A,2800,7.88,0,0.07,N,4
27,43200,OWN,2.0,VENTURE,B,5000,12.69,0,0.12,N,8
22,69950,MORTGAGE,6.0,EDUCATION,C,9750,14.65,0,0.14,N,2
33,42230,RENT,1.0,MEDICAL,A,5500,9.63,0,0.13,N,10
23,30000,RENT,0.0,EDUCATION,C,6000,13.49,0,0.2,Y,3
41,150000,RENT,13.0,PERSONAL,F,20000,19.47,0,0.13,N,15
25,50000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,10.0,0,0.16,N,2
40,148350,MORTGAGE,11.0,VENTURE,A,5000,6.03,0,0.03,N,11
22,41300,RENT,6.0,EDUCATION,B,4800,11.89,0,0.12,N,3
39,73500,RENT,1.0,EDUCATION,C,18000,,0,0.24,Y,15
41,140000,MORTGAGE,3.0,VENTURE,C,25000,13.8,0,0.18,Y,12
27,150792,MORTGAGE,11.0,PERSONAL,B,6000,11.71,0,0.04,N,9
22,27996,RENT,1.0,VENTURE,E,5000,17.51,1,0.18,N,4
29,130000,MORTGAGE,13.0,VENTURE,A,17500,8.94,0,0.13,N,9
35,90000,RENT,3.0,PERSONAL,B,11000,11.99,0,0.12,N,10
27,78000,OWN,3.0,MEDICAL,D,12000,15.58,0,0.15,N,7
24,74000,RENT,1.0,HOMEIMPROVEMENT,D,16800,15.65,1,0.23,Y,3
21,47520,RENT,5.0,MEDICAL,D,10000,15.33,1,0.21,Y,4
29,52833,MORTGAGE,7.0,VENTURE,A,12250,6.62,0,0.23,N,6
26,51000,MORTGAGE,10.0,MEDICAL,A,15825,6.99,0,0.31,N,3
45,110000,MORTGAGE,5.0,PERSONAL,B,20000,11.11,0,0.18,N,16
22,51000,MORTGAGE,6.0,PERSONAL,B,7000,11.12,0,0.14,N,3
28,75000,RENT,0.0,MEDICAL,B,10500,9.63,0,0.14,N,10
25,39000,RENT,1.0,HOMEIMPROVEMENT,D,10750,14.59,1,0.28,Y,4
32,45400,RENT,4.0,PERSONAL,B,15000,12.18,1,0.33,N,6
22,27120,RENT,5.0,EDUCATION,C,9250,13.11,1,0.34,N,3
33,75000,RENT,4.0,HOMEIMPROVEMENT,A,10000,,0,0.13,N,6
25,78000,MORTGAGE,8.0,DEBTCONSOLIDATION,D,6000,15.62,1,0.08,N,3
30,98000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,7.14,0,0.05,N,5
25,74000,RENT,3.0,VENTURE,F,10000,18.43,1,0.14,Y,3
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4
25,46000,RENT,5.0,DEBTCONSOLIDATION,C,7200,,0,0.16,Y,3
36,828000,MORTGAGE,3.0,MEDICAL,B,4200,,0,0.01,N,13
27,225000,MORTGAGE,1.0,VENTURE,B,14000,,0,0.06,N,7
35,165000,MORTGAGE,3.0,VENTURE,B,8000,11.49,0,0.05,N,8
46,30000,RENT,15.0,DEBTCONSOLIDATION,C,10000,13.49,1,0.33,N,12
33,40800,MORTGAGE,,DEBTCONSOLIDATION,A,15000,7.51,0,0.37,N,5
27,61000,RENT,7.0,PERSONAL,B,13000,10.59,1,0.21,N,8
22,110000,MORTGAGE,6.0,VENTURE,B,6000,9.99,0,0.05,N,3
22,74000,MORTGAGE,6.0,EDUCATION,B,9000,,0,0.12,N,2
24,20400,RENT,3.0,DEBTCONSOLIDATION,C,7550,14.79,1,0.37,Y,3
22,70000,RENT,0.0,EDUCATION,B,6000,11.89,0,0.09,N,2
36,48450,RENT,2.0,DEBTCONSOLIDATION,C,10000,13.61,0,0.21,N,15
51,94368,MORTGAGE,4.0,PERSONAL,A,5000,,0,0.05,N,30
25,45000,MORTGAGE,4.0,VENTURE,C,10400,14.27,0,0.23,Y,2
27,40000,RENT,1.0,VENTURE,C,13000,13.48,1,0.33,N,7
26,68000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,10000,5.79,0,0.15,N,2
31,552000,RENT,0.0,PERSONAL,A,8000,7.29,0,0.01,N,10
24,90000,RENT,8.0,HOMEIMPROVEMENT,B,10000,,0,0.11,N,2
34,106000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,7200,7.29,0,0.07,N,8
30,20000,OWN,14.0,HOMEIMPROVEMENT,A,3800,6.99,0,0.19,N,5
26,70000,RENT,5.0,PERSONAL,C,4000,13.85,0,0.06,N,4
28,29004,RENT,5.0,VENTURE,C,4800,15.23,0,0.17,Y,7
28,91000,OWN,11.0,VENTURE,A,7000,6.99,0,0.08,N,6
36,28800,RENT,2.0,EDUCATION,C,6000,15.96,0,0.21,Y,12
21,25000,RENT,0.0,DEBTCONSOLIDATION,D,5000,12.86,1,0.2,Y,2
25,34000,MORTGAGE,2.0,MEDICAL,C,15450,11.22,1,0.45,Y,4
30,90000,RENT,10.0,HOMEIMPROVEMENT,D,15000,14.96,0,0.17,N,6
